三階分類號
C12N
A61K
C07D
C12N
C07D
G09B
A61M
G06Q
A61M
G06Q
D01F
G11C
A62B
G05D
A62B
C01F
A61L
A61M
G04B
C12Q
F41B
C08F
B62K
C07D
A61K
A61K
A61B
H01L
C07K
D06M
H01M
G09B
G01N
B60K
C09D
G05D
A61H
C07C
C09K
A63B
C07H
H01B
H01M
E02D
G11C
G11C
H01M
C02F
H01M
C07F
A61K
G11C
A61M
A61K
G11C
G11C
G11C
C07F
C07D
C08F
C08G
G11C
G11C
H04N
G01C
B32B
B60R
G01N
C07D
A61K
F21S
A61K
G11C
H01L
C08G
E05B
C10M
G06Q
H03K
G10K
B23Q
A61K
G11C
C12N
F03B
A61N
H02K
B01D
A47C
B29C
G11C
H05K
C12N
B26F
G01S
G03F
A61K
G06Q
G11C
A62C
G06Q
A61K
A47J
A61K
H01L
A61C
C12N
C08L
G11C
B32B
G06K
G08B
H01Q
A62C
C02F
A61B
A61B
D04B
H05B
G09G
A61K
C07K
A23C
A61M
G11C
G06Q
H01M
C07D
H01L
H02J
A01K
A61K
G11C
C08G
G11C
G06Q
A45D
G06F
A61B
G06T
C02F
H04N
A47J
H01L
H01L
G06F
C07F
C02F
C07F
C23C
H01L
C08L
C07D
B65D
A61B
B60B
C07K
G06T
C12N
A63B
G06Q
G11C
G06Q
B60W
A61M
C07H
C07F
H04N
G11C
A01G
C01B
A47L
G06K
C07K
A63D
A61K
A61M
C12P
C08G
H01L
H03M
H04N
C09D
A47C
E06B
C23C
H01H
C08F
E01C
A47G
G11C
A61K
C07C
G06F
A01N
C09K
G06F
H04W
G01C
C08J
G01N
H02P
A61F
G02B
G01C
G01N
G02B
G11C
H03M
G08B
G06F
C04B
A61K
G06F
H01M
G06F
C01B
G02B
A01K
G06Q
G11C
A61M
H01L
C02F
A47K
A61K
A61F
C07K
H04L
A61B
G06K
G01N
G09B
B60W
A61K
H04N
C12N
C07F
A61K
C12N
A61K
B60R
H01L
C02F
G06T
A21B
C12Q
A63B
A61K
H01L
C08G
G11C
G10L
C25D
C09K
G06F
A61G
A63F
C02F
A63F
B01J
H01L
G08B
G06F
H01L
G09B
G06Q
A61M
H03M
A61K
E05B
A47J
G03F
C01G
A61K
G10L
C01B
A61K
C01G
A61K
C23C
A61B
C01G
G09B
A61K
C08F
A63B
B62J
A42B
H01L
A61B
C07K
G11C
C08G
G06F
C08G
A61L
C07D
B82Y
G08G
G06Q
A61K
G11C
G01N
A61K
F42B
G06F
B65G
B65F
C07D
A61K
G11C
H01M
A47L
H01L
G01N
G08B
A61B
C01B
A61K
D03D
H04N
C07C
C09B
H01M
A61B
H01L
A42B
E05B
C07D
C12Q
A61F
C09B
C08F
G09B
G06F
A61K
A61H
A61K
H01L
G01L
G08B
